actor,starmeter rank,google results
Margot Robbie,1,24100000
Lily James,2,41300000
Dakota Johnson,3,32000000
Shailene Woodley,4,16600000
Jamie Dornan,5,25200000
Alexandra Breckenridge,6,1870000
Robin Wright,7,73100000
Jennifer Lawrence,8,162000000
Ellie Kemper,9,3570000
Jaimie Alexander,10,730000
Tom Hardy,11,56400000
Emilia Clarke,12,9910000
Alexandra Daddario,13,839000
Natalie Dormer,14,13700000
Katheryn Winnick,15,576000
Olivia Wilde,16,22100000
Chloë Grace Moretz,17,949000
Richard Madden,18,31900000
Emma Watson,19,90300000
Emma Stone,20,156000000
Genesis Rodriguez,21,12900000
Brittany Snow,22,15300000
Laura Prepon,23,840000
Scarlett Johansson,24,68200000
Miles Teller,25,7990000
Kaya Scodelario,26,940000
Jennifer Aniston,27,47700000
Britt Robertson,28,868000
Sharlto Copley,29,705000
Leonardo DiCaprio,30,47000000
Travis Fimmel,31,468000
Melissa Benoist,32,1520000
Rosamund Pike,33,8010000
Dan Stevens,34,73500000
Kate Mara,35,17700000
Kristen Schaal,36,524000
Hayley Atwell,37,709000
Eddie Redmayne,38,15900000
Chris Hemsworth,39,32900000
Theo James,40,177000000
Bella Thorne,41,20400000
Anna Kendrick,42,23300000
Thora Birch,43,507000
Aidan Turner,44,2390000
Chris Pratt,45,48100000
Charlie Hunnam,46,7440000
Emily Osment,47,700000
Norman Reedus,48,8350000
Luke Evans,49,49100000
Felicity Jones,50,17500000
Taron Egerton,51,747000
Benedict Cumberbatch,52,28200000
Jared Leto,53,36200000
Channing Tatum,54,28700000
Jason Momoa,55,1370000
Rachel Weisz,56,1620000
Sharon Stone,57,156000000
Aaron Taylor-Johnson,58,54900000
Rose Byrne,59,69000000
Johnny Depp,60,62000000
Mae Whitman,61,1700000
Lynn Collins,62,47600000
Will Smith,63,1400000000
Liam Neeson,64,20700000
Kevin Spacey,65,17400000
Christian Bale,66,33600000
Julianne Moore,67,39600000
Elizabeth Banks,68,89400000
Kristen Stewart,69,46900000
Chris Evans,70,162000000
Helena Bonham Carter,71,15700000
Joel Kinnaman,72,852000
Lena Headey,73,1240000
Sam Claflin,74,996000
Lauren Cohan,75,1630000
Alicia Vikander,76,1100000
Lily Collins,77,38600000
Keira Knightley,78,25500000
Brad Pitt,79,71600000
Adrianne Palicki,80,647000
Renée Zellweger,81,9520000
Nicola Peltz,82,1590000
Matthew McConaughey,83,18100000
Scott Eastwood,84,16000000
Bradley Cooper,85,104000000
Dave Franco,86,21600000
Vera Farmiga,87,984000
Angelina Jolie,88,95100000
Windell Middlebrooks,89,3830000
Cate Blanchett,90,17500000
Amber Heard,91,14200000
Adam Sandler,92,33900000
Freddie Highmore,93,743000
Tom Cruise,94,122000000
Ansel Elgort,95,2560000
Paget Brewster,96,585000
Bryan Cranston,97,15800000
Mila Kunis,98,32600000
Evangeline Lilly,99,1160000
Mary Elizabeth Winstead,100,638000
Chris Pine,101,69000000
