starmeter_rank,name
1,Margot Robbie
2,Lily James
3,Dakota Johnson
4,Shailene Woodley
5,Jamie Dornan
6,Alexandra Breckenridge
7,Robin Wright
8,Jennifer Lawrence
9,Ellie Kemper
10,Jaimie Alexander
11,Tom Hardy
12,Emilia Clarke
13,Alexandra Daddario
14,Natalie Dormer
15,Katheryn Winnick
16,Olivia Wilde
17,Chloë Grace Moretz
18,Richard Madden
19,Emma Watson
20,Emma Stone
21,Genesis Rodriguez
22,Brittany Snow
23,Laura Prepon
24,Scarlett Johansson
25,Miles Teller
26,Kaya Scodelario
27,Jennifer Aniston
28,Britt Robertson
29,Sharlto Copley
30,Leonardo DiCaprio
31,Travis Fimmel
32,Melissa Benoist
33,Rosamund Pike
34,Dan Stevens
35,Kate Mara
36,Kristen Schaal
37,Hayley Atwell
38,Eddie Redmayne
39,Chris Hemsworth
40,Theo James
41,Bella Thorne
42,Anna Kendrick
43,Thora Birch
44,Aidan Turner
45,Chris Pratt
46,Charlie Hunnam
47,Emily Osment
48,Norman Reedus
49,Luke Evans
50,Felicity Jones
51,Taron Egerton
52,Benedict Cumberbatch
53,Jared Leto
54,Channing Tatum
55,Jason Momoa
56,Rachel Weisz
57,Sharon Stone
58,Aaron Taylor-Johnson
59,Rose Byrne
60,Johnny Depp
61,Mae Whitman
62,Lynn Collins
63,Will Smith
64,Liam Neeson
65,Kevin Spacey
66,Christian Bale
67,Julianne Moore
68,Elizabeth Banks
69,Kristen Stewart
70,Chris Evans
71,Helena Bonham Carter
72,Joel Kinnaman
73,Lena Headey
74,Sam Claflin
75,Lauren Cohan
76,Alicia Vikander
77,Lily Collins
78,Keira Knightley
79,Brad Pitt
80,Adrianne Palicki
81,Renée Zellweger
82,Nicola Peltz
83,Matthew McConaughey
84,Scott Eastwood
85,Bradley Cooper
86,Dave Franco
87,Vera Farmiga
88,Angelina Jolie
89,Windell Middlebrooks
90,Cate Blanchett
91,Amber Heard
92,Adam Sandler
93,Freddie Highmore
94,Tom Cruise
95,Ansel Elgort
96,Paget Brewster
97,Bryan Cranston
98,Mila Kunis
99,Evangeline Lilly
100,Mary Elizabeth Winstead
101,Chris Pine
102,Emily Blunt
103,Kaley Cuoco-Sweeting
104,María Valverde
105,Liam Hemsworth
106,Hugh Jackman
107,Elizabeth Olsen
108,Ryan Gosling
109,Lee Pace
110,Monica Bellucci
111,Jussie Smollett
112,Jennifer Love Hewitt
113,Gemma Arterton
114,Maisie Williams
115,Jake Gyllenhaal
116,Jonathan Banks
117,Robert Downey Jr.
118,Robbie Amell
119,Sienna Miller
120,Patricia Arquette
121,Dakota Fanning
122,Tituss Burgess
123,Harrison Ford
124,Rachel McAdams
125,Andrew Lincoln
126,Kim Dickens
127,Keanu Reeves
128,Amy Adams
129,Sophie Turner
130,Blake Lively
131,Eva Green
132,January Jones
133,Aaron Paul
134,Heath Ledger
135,Elizabeth Hurley
136,Dev Patel
137,Dylan O'Brien
138,Elle Fanning
139,Zoe Saldana
140,Lizzy Caplan
141,James Spader
142,Ben Stiller
143,Dwayne Johnson
144,Molly Parker
145,Jason Statham
146,Charlize Theron
147,Henry Cavill
148,Jessica Chastain
149,Nicholas Hoult
150,Matthew Goode
151,Jim Parsons
152,John Travolta
153,Natalie Portman
154,Katie Cassidy
155,Jena Malone
156,Julia Stiles
157,Michael Fassbender
158,Kate Beckinsale
159,Zac Efron
160,Sylvester Stallone
161,Alexa PenaVega
162,Maggie Smith
163,Anne Hathaway
164,Naomi Watts
165,Sofía Vergara
166,Josh Hutcherson
167,Colin Firth
168,Nina Dobrev
169,Jane Krakowski
170,Neill Blomkamp
171,Evan Peters
172,Carol Kane
173,Dana Delany
174,Ariel Winter
175,Taylor Kitsch
176,Joel Edgerton
177,Cara Delevingne
178,Marie Avgeropoulos
179,Natasha Alam
180,Ginnifer Goodwin
181,Shia LaBeouf
182,Jake Lloyd
183,Melissa Rauch
184,Morena Baccarin
185,Freddie Prinze Jr.
186,Richard Armitage
187,Cobie Smulders
188,Eliza Taylor
189,Sean Penn
190,Kiernan Shipka
191,Evan Rachel Wood
192,Daniel Henney
193,Logan Lerman
194,Paul Walker
195,Teresa Palmer
196,Eleanor Tomlinson
197,Joseph Gordon-Levitt
