actor,google results
Mel Blanc,1090000
Eddie Garcia,24300000
Lee Moran,50700000
Jack Richardson,55100000
Sung-il Shin,1250000
Oliver Hardy,20000000
Paquito Diaz,528000
J. Warren Kerrigan,400000
Eddie Lyons,822000
Francis Ford,85000000
Harry Todd,41000000
'Snub' Pollard,113000
Edgar Kennedy,17800000
Billy Franey,87700
Andy Clyde,2390000
Gilbert M. 'Broncho Billy' Anderson,81200
Bryant Washburn,465000
Mohanlal Mohanlal,6770000
Charles Ogle,505000
Herbert Rawlinson,318000
Victor Potel,125000
Tom Santschi,64500
Lafe McKee,74300
Raymond Hatton,453000
Jagathi Sreekumar,398000
George Estregan,352000
Dot Farley,498000
Tom Mix,80000000
Henry B. Walthall,387000
Kate Price,52700000
Hobart Bosworth,98400
Charles Prince,25600000
Edmund Cobb,443000
Polidor Polidor,518000
Herbert Prior,53300000
Claire McDowell,888000
Al St. John,414000000
Fred Church,62600000
Lloyd Hamilton,40400000
Charles Murray,168000000
Gale Henry,19200000
Harry Carey,32500000
John Steppling,28900
Max Alvarado,6930000
Edward Coxen,81700
Shakti Kapoor,2220000
Mammootty Mammootty,1080000
Harry Myers,23500000
Louise Fazenda,146000
Vernon Dent,931000
Ford Sterling,47900000
Charles King,408000000
King Baggot,78600
Pauline Bush,913000
Florence Lawrence,40400000
Maurice Costello,512000
Wheeler Oakman,152000
Anup Kumar,1060000
Ji-mee Kim,482000
Bebe Daniels,874000
Marin Sais,2600000
Moe Howard,2160000
Eugene Pallette,200000
Panchito Panchito,677000
Wallace Beery,382000
Alan Hale,42500000
J. Farrell MacDonald,844000
Milburn Morante,26200
George Periolat,14100
Charles Starrett,395000
Charley Chase,813000
Dolphy Dolphy,1100000
Paul Hurst,20800000
Tom London,471000000
Alec B. Francis,1740000
Joseph W. Girard,1260000
Matsunosuke Onoe,20800
Jack Mulhall,347000
No-shik Park,539000
Ruth Roland,16500000
Gayne Whitman,31300
Aruna Irani,540000
Jimmy Aubrey,45200000
Anupam Kher,1640000
Pran Pran,11700000
Mary Fuller,47800000
George Field,45100000
Larry Fine,13900000
Mickey Rooney,1110000
Paul Hörbiger,264000
Akkineni Nageshwara Rao,412000
Charles Hill Mailes,506000
Yeong-gyun Shin,1560000
Winifred Greenwood,343000
Pearl White,76300000
Charles Clary,567000
Marc McDermott,1390000
Makoto Sugimoto,407000
Ben F. Wilson,164000000
Flora Finch,543000
