position,name
1,Robert De Niro
2,Jack Nicholson
3,Leonardo DiCaprio
4,Daniel Day-Lewis
5,Tom Hanks
6,Johnny Depp
7,Marlon Brando
8,Al Pacino
9,Brad Pitt
10,Denzel Washington
11,Laurence Olivier
12,Robert Downey Jr.
13,Tom Cruise
14,Philip Seymour Hoffman
15,Dustin Hoffman
16,George Clooney
17,Christian Bale
18,Anthony Hopkins
19,Sean Penn
20,Morgan Freeman
21,Matthew McConaughey
22,Chiwetel Ejiofor
23,Bruce Dern
24,Jack Lemmon
25,Russell Crowe
26,Meryl Streep
27,Cate Blanchett
28,Jennifer Lawrence
29,Kate Winslet
30,Katharine Hepburn
31,Audrey Hepburn
32,Helen Mirren
33,Nicole Kidman
34,Sandra Bullock
35,Ingrid Bergman
36,Natalie Portman
37,Jodie Foster
38,Judi Dench
39,Amy Adams
40,Julia Roberts
41,Emma Thompson
42,Diane Keaton
43,Marion Cotillard
44,Shirley MacLaine
45,Reese Witherspoon
46,Anne Hathaway
47,Charlize Theron
48,Elizabeth Taylor
49,Maggie Smith
50,Bette Davis
51,Humphrey Bogart
52,John Wayne
53,Sidney Poitier
54,Cary Grant
55,Spencer Tracy
56,Paul Newman
57,James Dean
58,Kirk Douglas
59,Henry Fonda
60,Robin Williams
61,Orson Welles
62,Christoph Waltz
63,Heath Ledger
64,Sean Connery
65,Kevin Spacey
66,Gene Hackman
67,Liam Neeson
68,Edward Norton
69,Bruce Willis
70,Gary Cooper
71,Gregory Peck
72,Robert Redford
73,Ralph Fiennes
74,Joaquin Phoenix
75,Will Smith
76,Vivien Leigh
77,Angelina Jolie
78,Olivia de Havilland
79,Grace Kelly
80,Barbara Stanwyck
81,Joan Fontaine
82,Greer Garson
83,Faye Dunaway
84,Susan Hayward
85,Ellen Burstyn
86,Jane Wyman
87,Sophia Loren
88,Joan Crawford
89,Kathy Bates
90,Judy Garland
91,Julie Andrews
92,Marilyn Monroe
93,Deborah Kerr
94,Susan Sarandon
95,Sissy Spacek
96,Luise Rainer
97,Glenn Close
98,Doris Day
99,Natalie Wood
100,Jane Fonda
101,Harrison Ford
102,Jeff Bridges
103,Gary Oldman
104,Robert Duvall
105,Ben Kingsley
106,Clark Gable
107,Tommy Lee Jones
108,Samuel L. Jackson
109,Matt Damon
110,Joe Pesci
111,Charlton Heston
112,Christopher Plummer
113,George C. Scott
114,Christopher Walken
115,John Travolta
116,James Stewart
117,Peter O'Toole
118,James Cagney
119,Ian McKellen
120,John Cusack
121,Bill Murray
122,Nicolas Cage
123,Steve McQueen
124,Gene Wilder
125,Kevin Costner
126,Ava Gardner
127,Jennifer Jones
128,Sally Field
129,Greta Garbo
130,Holly Hunter
131,Hilary Swank
132,Claudette Colbert
133,Diane Lane
134,Jessica Lange
135,Gloria Swanson
136,Lauren Bacall
137,Frances McDormand
138,Norma Shearer
139,Bette Midler
140,Mary Tyler Moore
141,Anna Magnani
142,Halle Berry
143,Sharon Stone
144,Kim Basinger
145,Glenda Jackson
146,Donna Reed
147,Geena Davis
148,Demi Moore
149,Michelle Pfeiffer
150,Liza Minnelli
151,Charles Chaplin
152,Peter Sellers
153,Woody Allen
154,Jon Voight
155,Mel Gibson
156,Jim Carrey
157,Mark Wahlberg
158,Steve Martin
159,Javier Bardem
160,Tim Robbins
161,Arnold Schwarzenegger
162,Sylvester Stallone
163,Viggo Mortensen
164,Hugo Weaving
165,Christopher Lee
166,Geoffrey Rush
167,Alec Guinness
168,Richard Burton
169,Alec Baldwin
170,James Caan
171,Michael Douglas
172,Ben Stiller
173,Willem Dafoe
174,Ed Harris
175,Harvey Keitel
176,Drew Barrymore
177,Winona Ryder
178,Kathleen Turner
179,Uma Thurman
180,Hattie McDaniel
181,Rene Russo
182,Annette Bening
183,Sigourney Weaver
184,Barbra Streisand
185,Raquel Welch
186,Joanne Woodward
187,Shirley Booth
188,Mercedes McCambridge
189,Anjelica Huston
190,Dianne Wiest
191,Goldie Hawn
192,Judy Davis
193,Claudia Cardinale
194,Gwyneth Paltrow
195,Julianne Moore
196,Debra Winger
197,Christina Ricci
198,Juliette Binoche
199,Daryl Hannah
200,Whoopi Goldberg
201,Benicio Del Toro
202,Kevin Bacon
203,Patrick Swayze
204,Michael Caine
205,Clint Eastwood
206,Burt Lancaster
207,Robert Mitchum
208,Colin Farrell
209,William Holden
210,Edward G. Robinson
211,William Powell
212,Errol Flynn
213,Groucho Marx
214,James Mason
215,Buster Keaton
216,Gene Kelly
217,Fred Astaire
218,Bradley Cooper
219,Jude Law
220,Robert Pattinson
221,Paul Giamatti
222,Forest Whitaker
223,Jared Leto
224,Jonah Hill
225,Michael Fassbender
226,Carol Burnett
227,Jessica Tandy
228,Helen Hunt
229,Mira Sorvino
230,Carmen Miranda
231,Kate Hudson
232,Catherine Zeta-Jones
233,Cameron Diaz
234,Debbie Reynolds
235,Rita Hayworth
236,Maureen O'Hara
237,Myrna Loy
238,Lena Headey
239,Toni Collette
240,Laura Linney
241,Marlene Dietrich
242,Carole Lombard
243,Jean Arthur
244,Jean Harlow
245,Ginger Rogers
246,Mary Pickford
247,Mae West
248,Gillian Anderson
249,Emma Watson
250,Meg Ryan
