position,name
1,Stanley Kubrick
2,Alfred Hitchcock
3,David Lynch
4,Quentin Tarantino
5,Billy Wilder
6,Christopher Nolan
7,James Cameron
8,David Fincher
9,Roman Polanski
10,Woody Allen
11,Steven Spielberg
12,Francis Ford Coppola
13,Ridley Scott
14,Fritz Lang
15,Ernst Lubitsch
16,Akira Kurosawa
17,David Lean
18,Oliver Stone
19,David Cronenberg
20,Federico Fellini
21,Joel Coen
22,Ethan Coen
23,John Huston
24,Sergio Leone
25,Alejandro González Iñárritu
26,Milos Forman
27,Martin Scorsese
28,Otto Preminger
29,F.W. Murnau
30,Peter Jackson
31,Paul Verhoeven
32,Michael Haneke
33,M. Night Shyamalan
34,Danny Boyle
35,Frank Capra
36,Peter Greenaway
37,Werner Herzog
38,Jean-Luc Godard
39,Howard Hawks
40,Paul Thomas Anderson
41,Ang Lee
42,Chan-wook Park
43,Paul Greengrass
44,Michael Mann
45,Stephen Frears
46,Brian De Palma
47,Fred Zinnemann
48,István Szabó
49,Clint Eastwood
50,Steven Soderbergh
51,Guillermo del Toro
52,Krzysztof Kieslowski
53,Ingmar Bergman
54,Bernardo Bertolucci
55,Wolfgang Petersen
56,John Woo
57,Rob Marshall
58,Orson Welles
59,Gus Van Sant
60,Sam Mendes
61,Peter Weir
62,Tony Scott
63,Robert Zemeckis
64,Jonathan Demme
65,Kenneth Branagh
66,Barry Levinson
67,Alan Parker
68,Michael Cimino
69,Ron Howard
70,Takeshi Kitano
71,Sydney Pollack
72,Mike Nichols
73,Sidney Lumet
74,François Truffaut
75,Louis Malle
76,Alan J. Pakula
77,William Friedkin
78,John Ford
79,Joseph L. Mankiewicz
80,Sam Peckinpah
81,Blake Edwards
82,Darren Aronofsky
83,John Schlesinger
84,John Carpenter
85,Carol Reed
86,Stanley Kramer
87,William Wyler
88,George Cukor
89,Elia Kazan
90,Vincente Minnelli
91,Robert Wise
92,Tim Burton
93,Gaspar Noé
94,George Stevens
95,Charles Chaplin
96,Michael Curtiz
97,Norman Jewison
98,Terrence Malick
99,Mel Brooks
100,Robert Altman
101,Roger Corman
102,Victor Fleming
103,Terry Gilliam
104,Lukas Moodysson
105,Lewis Milestone
106,Paul Haggis
107,Anthony Minghella
108,Michael Powell
109,Sam Raimi
110,Spike Lee
111,Jean Renoir
112,Ken Russell
113,D.W. Griffith
114,Hayao Miyazaki
115,Don Siegel
116,King Vidor
117,Josef von Sternberg
118,Raoul Walsh
119,Sam Wood
120,Robert Aldrich
121,Alejandro Amenábar
122,Michael Apted
123,Hal Ashby
124,Richard Attenborough
125,John G. Avildsen
126,Lars von Trier
127,John Badham
128,Susanne Bier
129,Kathryn Bigelow
130,Dario Argento
131,Mel Gibson
132,John Boorman
133,Martin Brest
134,Richard Brooks
135,Jane Campion
136,William A. Wellman
137,Andrei Tarkovsky
138,William Dieterle
139,Edward Dmytryk
140,Richard Donner
141,Sofia Coppola
142,Roland Emmerich
143,Peter Farrelly
144,Bobby Farrelly
145,John Frankenheimer
146,Curtis Hanson
147,Henry Hathaway
148,George Roy Hill
149,Arthur Hiller
150,John Hughes
151,Jim Jarmusch
152,James Ivory
153,Neil Jordan
154,Spike Jonze
155,Lawrence Kasdan
156,Henry Koster
157,Mervyn LeRoy
158,Richard Lester
159,Adrian Lyne
160,Anthony Mann
161,Garry Marshall
162,John McTiernan
163,Phillip Noyce
164,Pedro Almodóvar
165,Nicolas Roeg
166,Frank Oz
167,Harold Ramis
168,Robert Redford
169,Carl Reiner
170,Rob Reiner
171,Ivan Reitman
172,Erich von Stroheim
173,Luc Besson
174,Franklin J. Schaffner
175,Joel Schumacher
176,Robert Siodmak
177,John Sturges
178,Sergei M. Eisenstein
179,W.S. Van Dyke
180,Gore Verbinski
181,James Whale
182,Jerry Zucker
183,Edward Zwick
184,Fatih Akin
185,Alexandre Aja
186,Takashi Miike
187,Joon-ho Bong
188,François Ozon
189,George Lucas
190,Jean-Pierre Jeunet
191,Vittorio De Sica
192,Costa-Gavras
193,Wim Wenders
194,Mathieu Kassovitz
195,Patrice Leconte
196,Franco Zeffirelli
197,Mira Nair
198,Tom Tykwer
199,Aki Kaurismäki
200,Chris Columbus
